 ,X,Y
1017,240.495,1114.420
1018,709.013,1111.264
1019,273.359,1115.394
1020,41.318,1119.131
1021,939.907,1122.174
1022,964.571,1121.512
1023,257.880,1121.668
1024,501.868,1125.836
1025,670.689,1126.307
1026,284.999,1122.788
1027,304.983,1130.832
1028,485.531,1129.649
1029,1054.102,1131.117
1030,725.249,1128.004
1031,518.133,1134.270
1032,66.713,1134.927
1033,271.639,1135.890
1034,710.571,1134.182
1035,760.525,1138.803
1036,695.892,1138.262
1037,926.453,1140.688
1038,1029.152,1138.255
1039,291.591,1143.076
1040,978.548,1140.992
1041,496.060,1143.823
1042,735.037,1146.396
1043,479.121,1149.628
1044,678.083,1149.623
1045,1003.217,1148.002
1046,1077.399,1150.920
1047,964.766,1154.281
1048,320.818,1153.054
1049,510.261,1155.453
1050,705.326,1151.418
1051,531.343,1155.708
1052,1041.040,1158.656
1053,1016.636,1160.806
